date,price
10-Feb-2014 09:12:08,720
10-Feb-2014 09:13:08,718
10-Feb-2014 09:13:38,717
10-Feb-2014 09:15:38,714
10-Feb-2014 09:18:08,713
10-Feb-2014 09:23:08,199
10-Feb-2014 09:27:38,200
10-Feb-2014 09:30:38,201
10-Feb-2014 09:31:08,200
10-Feb-2014 09:31:38,201
10-Feb-2014 09:32:08,200
10-Feb-2014 09:32:38,199
10-Feb-2014 09:33:10,201
10-Feb-2014 09:33:38,199
10-Feb-2014 09:34:38,200
10-Feb-2014 09:37:39,291
10-Feb-2014 09:38:08,340
10-Feb-2014 09:38:39,355
10-Feb-2014 09:39:09,358
10-Feb-2014 09:40:09,348
10-Feb-2014 09:40:39,351
10-Feb-2014 09:41:09,482
10-Feb-2014 09:41:39,487
10-Feb-2014 09:42:39,829
10-Feb-2014 09:43:39,1084
10-Feb-2014 09:44:09,1080
10-Feb-2014 09:44:39,1073
10-Feb-2014 09:45:09,1070
10-Feb-2014 09:45:39,1062
10-Feb-2014 09:46:09,1060
10-Feb-2014 09:46:43,1062
10-Feb-2014 09:47:09,1061
10-Feb-2014 09:47:39,1058
10-Feb-2014 09:48:39,999
10-Feb-2014 09:49:09,998
10-Feb-2014 09:50:09,919
10-Feb-2014 09:50:39,1012
10-Feb-2014 09:52:09,864
10-Feb-2014 09:52:39,866
10-Feb-2014 09:53:09,868
10-Feb-2014 09:54:09,867
10-Feb-2014 09:55:09,889
10-Feb-2014 09:55:39,868
10-Feb-2014 09:56:09,555
10-Feb-2014 09:57:09,518
10-Feb-2014 09:57:39,565
10-Feb-2014 09:58:39,605
10-Feb-2014 09:59:09,604
